Title,URL,Author,Date,Playbacks,Flash_comments,Duration
不要造谣质疑姜萍!,https://live.bilibili.com/849518?live_from=84004,支持姜萍版戶晨风,,1.2万,,,2024/06/26
阿里的预赛考93有多难？清华博士：我做不到,https://www.bilibili.com/video/BV1Rx4y147Sz/,漫士沉思录,· 6-15,151.1万,5818,11:10,2024/06/26
质疑姜萍参赛的道歉！,https://live.bilibili.com/31457490?live_from=84004,请叫我鸡腿子,,5.7万,,,2024/06/26
彻底结束！姜萍熟人匿名爆料全部真相！新华网删除视频！,https://www.bilibili.com/video/BV1Fb421n7Nv/,娱乐先知,· 1小时前,1.3万,102,09:18,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Kx4y1t7n4/,是绅士汤呀,· 12小时前,6.2万,107,16:38,2024/06/26
姜萍到底有没有作弊？ 以及目前姜萍事件的形式是怎样的 这条视频告诉你,https://www.bilibili.com/video/BV1WT421a71h/,B站经济学院,· 6-21,119.7万,2184,09:45,2024/06/26
支持姜萍的进,https://live.bilibili.com/21723177?live_from=84004,ffgcghfcff,,3.8万,,,2024/06/26
姜萍事件，完整采访Q&amp;A爆出，原视频对比~~~,https://www.bilibili.com/video/BV1ij3TevEB1/,飞翔的餐蛋面,· 11小时前,1.8万,98,11:41,2024/06/26
锐评数学天才姜萍，热度太高也不是好事！张雪峰毫无保留,https://www.bilibili.com/video/BV1Zx4y1b7kA/,张雪峰说考研考公,· 6-20,147.2万,3998,17:25,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Ez421z7Mc/,甄机坊,· 2小时前,4.8万,8,08:21,2024/06/26
阿里数学竞赛决赛曝光，360度无死角监控，37名选手联名举报姜萍,https://www.bilibili.com/video/BV1Wi421e7x5/,海绵专栏,· 6-23,39万,113,02:08,2024/06/26
新华网删除姜萍视频已石锤！！！！终于要开始反转了吗？-,https://www.bilibili.com/video/BV1iM4m1m77D/,是绅士汤呀,· 3小时前,4.4万,0,01:26,2024/06/26
彻底结束！姜萍熟人匿名爆料出全部真相！结束了这场闹剧,https://www.bilibili.com/video/BV1cw4m1e7ha/,娱乐先知,· 7小时前,1.9万,119,09:24,2024/06/26
姜萍采访发言水平VS初二学生，全程磕磕巴巴,https://www.bilibili.com/video/BV1PM33etEXM/,追寻你的日子,· 6-23,8.9万,579,07:35,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1i4421S7jU/,甄机坊,· 2小时前,4679,4,08:21,2024/06/26
即便姜萍决赛成绩不错……也啥都证明不了……,https://www.bilibili.com/video/BV1kn4y1X7tP/,写手一条城,· 昨天,6.8万,185,05:00,2024/06/26
