Parent User,Parent Sex,Parent Sign,Parent Comment,Parent Time,Parent Location,Parent Level,Child User,Child Sex,Child Sign,Child Comment,Child Time,Child Location,Child Level
躺平的王敷衍,女,城郊结合,我感觉决赛可能对她有点困难，不是说她不厉害，第五题偏向计算机类型，她不太适应。决赛如果偏向计算机方向可能会对她有些困难，本质上是缺乏这个类型的训练和经验。希望她能有更好的平台发挥自己的天赋，这种天赋型天才是真的人才啊。,9天前发布,IP属地：安徽,5,小米粒爸,保密,,中专这个强在环境和天赋，正常玩竞赛的都经过很多名师指点了，学校最少几个很强的老师辅导，单项都是专门老师教学，外面还会去名师那到处求学，根本不是一个老师就能出成绩的,8天前发布,IP属地：江苏,5
躺平的王敷衍,女,城郊结合,我感觉决赛可能对她有点困难，不是说她不厉害，第五题偏向计算机类型，她不太适应。决赛如果偏向计算机方向可能会对她有些困难，本质上是缺乏这个类型的训练和经验。希望她能有更好的平台发挥自己的天赋，这种天赋型天才是真的人才啊。,9天前发布,IP属地：安徽,5,小王该努力学习了,女,好好等 会晚些 但会更好”,回复 @小米粒爸 :一般敢玩竞赛的也都是有天赋的，没天赋，砸再多钱也没用,8天前发布,IP属地：内蒙古,5
阿星吧123,保密,,也许她眼中的衣服裁剪是非欧几何的应用题,9天前发布,IP属地：北京,5,死贝类,男,精苏人士,立体剪裁的深刻理解,9天前发布,IP属地：上海,6
阿星吧123,保密,,也许她眼中的衣服裁剪是非欧几何的应用题,9天前发布,IP属地：北京,5,欧零酱,保密,此人很聪明，什么都没有留下。,可是她搞得是偏微分方程领域，这才是让人惊讶的。,9天前发布,IP属地：北京,6
阿星吧123,保密,,也许她眼中的衣服裁剪是非欧几何的应用题,9天前发布,IP属地：北京,5,邑陀失,保密,有若智之向,回复 @欧零酱 :上一个这么在阿里数学竞赛搞偏微分方程得了名次的是韦神[doge],9天前发布,IP属地：北京,5
般若无双,男,沉默核武器,组委会赛后，推迟了六天才公布成绩  ，专门到涟水调查了五天  ，多次让她现场做题 ，确认确实能有独立答题的能力之后，组委会才发布消息。组委会作为赛事主办方，知道这个事件的重大性  。比你们都小心,8天前发布,IP属地：浙江,6,张子枫3,保密,,有这方面的依据吗,8天前发布,IP属地：江西,3
般若无双,男,沉默核武器,组委会赛后，推迟了六天才公布成绩  ，专门到涟水调查了五天  ，多次让她现场做题 ，确认确实能有独立答题的能力之后，组委会才发布消息。组委会作为赛事主办方，知道这个事件的重大性  。比你们都小心,8天前发布,IP属地：浙江,6,小卓远3D,男,"好好分享每一期的福彩3d，微信：xiaozhuoyuan3D，加我备注b站。
可以一起分享方法。",回复 @张子枫3 :这里面的做题视频应该是组委会拍的,8天前发布,IP属地：浙江,5
般若无双,男,沉默核武器,组委会赛后，推迟了六天才公布成绩  ，专门到涟水调查了五天  ，多次让她现场做题 ，确认确实能有独立答题的能力之后，组委会才发布消息。组委会作为赛事主办方，知道这个事件的重大性  。比你们都小心,8天前发布,IP属地：浙江,6,MADplz,保密,,你说的这个事情是据传，并没有实锤,8天前发布,IP属地：湖北,5
原神李太冲,男,『命运抉择』系列视频持续更新……,总算看到一个正经分析姜萍水平的视频了！感谢分享！让我得以较为直观地理解姜萍的天赋高度，这样的数学天赋确实称得上是天才。,9天前发布,IP属地：福建,6,伊泽诱尔,保密,这个人很懒，什么都没有留下,up说前两题本科水平，然后有一题聪明一点的高中生都可以，我怎么感觉我好像没上过高中和本科[笑哭],8天前发布,IP属地：马来西亚,5
原神李太冲,男,『命运抉择』系列视频持续更新……,总算看到一个正经分析姜萍水平的视频了！感谢分享！让我得以较为直观地理解姜萍的天赋高度，这样的数学天赋确实称得上是天才。,9天前发布,IP属地：福建,6,stargazer啊哈,男,哈哈哈哈,回复 @伊泽诱尔 :应该是高中竞赛水平加本科数学专业水平吧，工科数学不会学那么深,8天前发布,IP属地：广东,5
