Title,URL,Author,Date,Playbacks,Flash_comments,Duration,date_of_scraping
不要造谣质疑姜萍!,https://live.bilibili.com/849518?live_from=84004,支持姜萍版戶晨风,,1.9万,,,2024/06/26
阿里的预赛考93有多难？清华博士：我做不到,https://www.bilibili.com/video/BV1Rx4y147Sz/,漫士沉思录,· 6-15,151.6万,5826,11:10,2024/06/26
新华网删除姜萍视频已石锤！！！！终于要开始反转了吗？-,https://www.bilibili.com/video/BV1iM4m1m77D/,是绅士汤呀,· 10小时前,9.5万,3,01:26,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Kx4y1t7n4/,是绅士汤呀,· 20小时前,7.9万,136,16:38,2024/06/26
姜萍到底有没有作弊？ 以及目前姜萍事件的形式是怎样的 这条视频告诉你,https://www.bilibili.com/video/BV1WT421a71h/,B站经济学院,· 6-21,121.4万,2220,09:45,2024/06/26
阿里数学竞赛决赛曝光，360度无死角监控，37名选手联名举报姜萍,https://www.bilibili.com/video/BV1Wi421e7x5/,海绵专栏,· 6-23,39.8万,115,02:08,2024/06/26
锐评数学天才姜萍，热度太高也不是好事！张雪峰毫无保留,https://www.bilibili.com/video/BV1Zx4y1b7kA/,张雪峰说考研考公,· 6-20,147.5万,4005,17:25,2024/06/26
姜萍事件，完整采访Q&amp;A爆出，原视频对比~~~,https://www.bilibili.com/video/BV1ij3TevEB1/,飞翔的餐蛋面,· 18小时前,2.8万,135,11:41,2024/06/26
姜萍采访发言水平VS初二学生，全程磕磕巴巴,https://www.bilibili.com/video/BV1PM33etEXM/,追寻你的日子,· 6-23,9.2万,595,07:35,2024/06/26
姜萍邻居凤凰网采访：村里人眼中的JumPing（JP）—— JP邻居采访视频逐帧分析与评述,https://www.bilibili.com/video/BV161421C7x4/,练习科研的个人练习生,· 2小时前,434,0,08:24,2024/06/26
【第一现场】采访姜萍同校同学,https://www.bilibili.com/video/BV1ZSgheKEAe/,宿舍头号刺头,· 6-22,11.2万,76,01:06,2024/06/26
支持姜萍的进,https://live.bilibili.com/21723177?live_from=84004,ffgcghfcff,,2.1万,,,2024/06/26
证明天才少女姜萍是谁的责任？建议阿里达摩院正面回应质疑,https://www.bilibili.com/video/BV1cb421n7H4/,老梁不郁闷,· 6-25,37.5万,2141,20:51,2024/06/26
【姜萍事件番外】，这就是天才的轨迹，面对镜头，说话伶俐，思维活跃,https://www.bilibili.com/video/BV1Mz421z7aj/,第一热门跟踪,· 6-21,17.7万,29,00:51,2024/06/26
姜萍的支持者，请进！,https://live.bilibili.com/32001623?live_from=84004,顺德生命,,2450,,,2024/06/26
彻底结束!!姜萍学校附近知情人士匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Yw4m1e7Ke/,百米扬程,· 20小时前,22.6万,61,08:30,2024/06/26
最难中专试卷，传说中姜萍同学的同款试卷详细讲解,https://www.bilibili.com/video/BV1LSgQeoEhF/,阿巴阿巴真没必要,· 6-21,26.7万,688,06:19,2024/06/26
实拍姜萍笔记，让黑子无从下口。,https://www.bilibili.com/video/BV1ungbeEEfw/,expre丶,· 6-19,71.5万,561,00:52,2024/06/26
姜萍采访对比韦神采访，可见数学天才是伪装不出来的,https://www.bilibili.com/video/BV1Ns421M7wV/,哈鲁奥菲,· 6-20,46.3万,1297,06:19,2024/06/26
作弊还是天才？预测姜萍事件的两大真相节点！,https://www.bilibili.com/video/BV1zS421d7Ei/,科学声音,· 6-24,9.8万,1400,20:36,2024/06/26
姜萍最新采访视频！村里人：从小就天才，又聪明又孝敬又有爱心，太穷读不起高中！,https://www.bilibili.com/video/BV1cT421Y7rv/,最新速报,· 17小时前,3.6万,74,02:08,2024/06/26
