Name,Centrality,Community,node_id
和丁真一起学习强国！#丁真,15,2,0
恶人还需恶人磨，查理斯反向打服康姆,3,4,1
在普林斯顿散步，我偶遇了两位学术伟人！,10,2,2
【chalice】回忆老龟对战iG，为什么不banTK，承认自己的过错！敌法师那把是iG太憋了！,15,2,3
姜萍妈妈回应女儿姜萍成绩造假事件,86,2,4
在超市买到了姜萍方便面……,51,2,5
真杀笔这玛丽,80,2,6
国家电力高官成间谍，造成哪些损失？牵出哪些高官？结局愤慨！,153,2,7
识人有术，手背有窝,64,4,8
当代初中生期末现状（1）,8,2,9
曹德旺两年前对楼市的预言，被很多人骂，如今看来，别有滋味！,2,2,10
大男人你哭什么！,26,2,11
不是不爆，时候未到，疑似姜萍老师王闰秋准备自爆,18,2,12
神评,58,4,13
公众人物、网民需加强学习，江西2.2亿元彩票大奖确无内幕（原创作者:喻会能，即有梦最美666）,1,2,14
农夫山泉背后资本是谁？竟然悄悄控制着整个世界的资本！,94,2,15
14岁男孩当伴郎竟遇班主任当伴娘，网友直呼“瑟瑟发抖”,31,2,16
“这是中国最穷的省？”美媒带中国节奏的报道，把美国人看破防了,12,4,17
六爻测姜萍事件ending,75,2,18
张雪峰:黑龙江三中文科630分，是去外省还是哈工大?,17,4,19
扣篮后引发争议，现场混乱不堪,69,2,20
《撅醒年代———饭店取个名字你也要撅醒一下，姐妹们被男凝了谁懂》,16,3,21
【独家】《回铭之烽火三月》第十话 雪谷逃亡【5月国创】,1,3,22
真6啊，穿越带金坷垃去修仙界种灵药？,1,3,23
威震华夏的关羽打了哪些胜仗？黑子们,2,3,24
为什么现在大龄剩女越来越多,20,3,25
2024安徽中考压轴题赏析,7,3,26
拜登好像辩论时作弊了，这个镜头像不像耳朵里塞了黑科技在凝神倾听指示提词？,1,3,27
【无痛线代】特征值究竟体现了矩阵的什么特征？,2,3,28
感觉这个亲戚再也不会上我家门了，嘻嘻。,10,3,29
扳倒张雪峰？3小时赚2个亿的他，再上热搜,1,3,30
大学生数学竞赛129,6,3,31
如果查到高考成绩是0分，千万别慌，恭喜您，您家孩子是高考屏蔽生，不是清华就是北大!#高考#高考出分  #金榜题名,1,3,32
【IGN】《塞尔达传说 智慧的再现》公布预告 | 任天堂直面会,2,3,33
《酱园弄》杨粉丝全网卖惨被赵摆一道，被杨幂粉丝举报后,40,3,34
当我把《今天你要嫁给我》翻成英文版唱给外国女生听,1,3,35
聪明如他能背出圆周率多少位？,14,4,36
“放心吧祖国，放心吧亲人，未来的路我们会勇敢前进！”,2,3,37
为什么你在两性关系里既卑微又讨好？,21,3,38
婆婆嫌弃小妾多年，如今刻薄小妾变了性子，婆婆喜欢了,16,3,39
姜萍事件结局呼之欲出,1,3,40
美国人类智商天花板,3,3,41
【吉林大学】《股票投资之道》宋玉臣教授（全7集）| 全程干货！这老师太搞笑了！,32,3,42
娘妻小结局：一部小说竟让90岁老人与儿子重逢，结局令人泪目,1,3,43
阿里的预赛考93有多难？清华博士：我做不到,2,3,44
漫改稀碎？是我声音大！《时光代理人》发刀中,14,3,45
中专姜萍成绩造假？作弊？逆天反转？,1,25,46
高考题来袭~阿里巴巴全球数学竞赛决赛分析组第三大题解答!,51,4,47
中泰合作古装剧《花开有时，颓靡无声》“水千丞”处女作品将于 7 月 11 日开播,2,3,48
31岁硕士浅尝100万吃息退休，4月感恩我爹让我吃肉,3,4,49
初一升初二必看：暑假知识点总结,1,3,50
河南冷藏车8人悲剧：她们被嘲讽，才是最大的悲剧,22,3,51
⚡请选择你的蛊界英雄⚡,1,3,52
神曹操进盒子!第二个鲍三娘!,1,3,53
【吃瓜了没06】她读不来汉字，但她有光明的未来！,1,3,54
三体人，恐怖如斯,1,3,55
五天爬五岳第四坐华山，整！！,1,3,56
姜萍纪录片/姜萍采访/姜萍达摩院/阿里巴巴数学竞赛/17岁中专,19,3,57
最新传奇街区口令！2024中国锦标赛加油！,9,12,58
紫微星男的智商怎么样？,1,12,59
大英离“末代国王”还有多远？,1,12,60
星巴克不消费不让坐,2,12,61
谭乔亲自上门探访游术公司,2,12,62
数学只是姜萍同学的PlanB！,1,12,63
大孝子三十年来第一次和母亲吵架，仅仅因为母亲介绍了个白富美,2,12,64
我支持姜萍，不服来辩,5,1,65
北京高中生的英语已经这么好了吗？,1,12,66
张艺兴看出问题但不说，希望染女自己发现,3,12,67
韦东奕采访被问：今年高考数学题难吗？神回复笑翻众人！太逗了,1,12,68
关于端午赛龙舟的场面，海外网站上怎么看？他们关注的角度不一样,15,12,69
【知否解说144】殿前谈话四个人加起来八百个心眼，安倍来了都要自愧不如,1,12,70
#大学生 #期末精神状态belike #大学生期末考试综合征 学习好的都没师生情，你能有师生情，老师捞谁也不捞你啊#研究生 #一起见证学霸的诞生,33,4,71
马林思维《看之前VS看之后》,1,12,72
努力不一定有用，努力加上天赋一定有用,1,12,73
从胖猫到姜萍，网络时代，事件不断反转，聊聊当代网民的自我修养。,2,12,74
一觉醒来，暗恋姜萍的男生感觉天塌了,64,4,75
姜萍事件目前互联网各大平台风向,1,12,76
希望大家理性看待，不要做以白诋青的人,1,12,77
微博关于姜萍的最新逆天言论,41,4,78
“原来真的是最好的安排！”，祝福所有考生！接！,2,12,79
评分跌破5！男性观众最生理不适的一集！《黑袍纠察队》第四季第四集来了,1,12,80
我竟因为2个方块被抖音封禁视频？,1,12,81
⚡爸爸 欧多桑 ⚡2.0,1,12,82
赵斌为什么敢99.9%打假姜萍？这就是石锤证据！！！赵斌以身入局！！！,1,12,83
"资本入股TapTap,渠道卡住手游市场？",1,12,84
特朗普祝贺姜萍，Make 中专 Great Again！,1,12,85
腿上绳子有什么作用,17,2,86
网恋奔现眼镜妹照骗女孩 #网恋奔现#翻车系列#00后小姐姐,7,2,87
"笑死！李晋晔拒绝“歌手”广告被全程直播,这也算是一种后现代广告方式吧-",13,2,88
第二章 简病了2,10,2,89
道家知识：情债一旦还清，从此就不再相见了！,47,2,90
三胎以上的家庭，为什么受苦受累，最委屈的永远都是老二？,9,2,91
考多高才算高啊,22,2,92
高智商的坏处，变聪明的代价是这个#高智商 #胜寒 #门萨智商测试,3,2,93
入侵我国最丢人的6大外来物种,5,3,94
决赛！袁兆林vs昝永政！,19,2,95
从南京电驴200公里去苏北县城吃膘鸡是什么体验？这期跟随文行镜头走进泗水古都、美酒之源，中国杨树之乡，江苏泗阳,12,2,96
【初中数学】2024中考数学压轴：台湾省,59,1,97
GLITCH官方最新消息,11,2,98
培养闺蜜上清华第60天,22,2,99
不愧是你！杭州亚运会发布选手简历，一起看马龙的简历有多长！,50,2,100
中使馆致信在马尔代夫被性侵中国女生：已联系酒店总经理、马旅游部副部长、警察调查,59,1,101
阿里数赛难度如何？我用AI拿了18分,2,2,102
美貌与智慧并存，才华与气质兼备！西交大核工程毕业生李艺飞这段演讲火了！,67,2,103
飞机上找空姐要电话的多吗？,9,2,104
【菲常萧张】628工作室背刺事件……其实也算我的退圈发言了？人始终自由谢谢,19,70,105
在农村这样拍。随便都能拍出大片。快去试试吧,1,70,106
当高考生遇到竞赛生，你真的不算什么,1,70,107
6月份tiktok中国相关视频点赞量前十,1,70,108
中国公布电磁护盾技术，沙特网友：请到时候记得先跟我谈,1,70,109
一个非常快速的 Latex 入门教程,1,70,110
男子持枪吃霸王餐，不料遭警员开15枪击毙！EP334,1,70,111
00后教师看午休，竟发现学生不睡觉在…,1,70,112
【贵物志】再见了，所有的二次元蛋糕 所有的大慈树王老师,1,70,113
黄牛跑路，股价暴跌，市值一天蒸发630亿！茅台开始吹不动了？,1,70,114
唐尚珺直播坦言为填志愿不方便透露具体分数，但开头为6，并辟谣网传的630多。,1,70,115
“那个出500万的狗呢？把钱打给姜萍！”逆天。,1,70,116
肯定是真的，今天晚上不睡了我，怎么越来越激动了,1,70,117
事件再次反转！姜萍中专学校已聘请律师维护名誉！这次学校态度很明确啊！,1,70,118
直接给现金1000元！胖东来擀面皮退款现场多人排队领钱,1,70,119
金姐认证小金星，别像刘亦菲就行,1,70,120
向间谍出售亲本种为何只判一年半？法定刑范围内不排除从轻可能,1,70,121
分数基本运算——分数相乘,1,70,122
【娱乐八卦】万茜是真是弯？老公真的出轨？,1,70,123
这不是直播间能说的！高三学生懂这么多？,1,70,124
22：因为一句诺言姑娘甘愿做配角，成为主角的那天竟是师傅的祭日,21,22,125
紧跟时事 真谈了,2,22,126
郑翔Zard-『鱼限』杂谈回：我要是个女的 你们绝对到点了😊我是妈妈生的 代入不了齐天大圣怎么办😶初中离家出走 好好给大小姐上了一课！,1,22,127
抑郁症恢复后的两种极端变化…,1,22,128
为什么没人在我25岁时，跟我说这些？？今日方知我是我？“找到自己真正喜欢的事情”是一瞬间完成的，而找到真我不是。,3,22,129
大学四六级考试笑话,21,22,130
姜萍决赛后视频疑似流出？已回学校正常上课，大老板出手赠送姜萍父亲5000元和两座大铁牛雕像,1,22,131
婚纱城打假潮，但是我认为他们没有想清楚底层逻辑，用的错的方式方法运作,2,22,132
满 级 口 技,1,22,133
姜萍、王闰秋、阿里、媒体会向大众道歉么？究竟谁需要站出来道歉？,2,22,134
Mc极小概率事件 万字演讲湖,3,22,135
其实“我佛”不渡穷B，只渡有圆人🙏😇,2,22,136
中等生很难进步 最可恨了,2,22,137
【恋爱vlog01】浙大考试周的劳保法和旺仔小馒头,1,22,138
阿里数学竞赛组委会负责人「印卧涛」帮姜萍澄清了2个问题｜黑子们还说什么❓,2,22,139
【朴宝剑&裴秀智】最新韩影《梦境》中字高清完整版(孔刘、汤唯、郑裕美),2,22,140
北大数学天才韦神，到底是怎么学数学的！,1,22,141
胖猫事件为什么能够产生共情？结了婚的中年男性都是胖猫,3,22,142
ipone8p战神测评,1,22,143
【日常口语6000句—第二十集】每天听力一小时，磨耳朵英语，越听越清，坚持三个月听懂美国人,1,22,144
天兵科技回应“火箭坠落起火”：箭体跌落山中后解体，无人员伤亡,2,22,145
男子参加周杰伦演唱会，没想到听旁边小姐姐唱了一整晚，“1700的票小姐姐唱了1650”,20,6,146
为啥没人质疑伏地魔是不是变弱了呢,1,6,147
求盘古关天闭地教程,1,6,148
